id_oglasa,naslov,tip_nepremicnine,stevilo_sob_opis,stevilo_sob,cena,valuta,m2,leto_gradnje,nadstropje,opis_kratek,url_oglasa
7370645,SOSTRO,Stanovanje,3-sobno,3.0,700.0,EUR,75.0,1989,M/1,"75 m2, 3-sobno, zgrajeno l. 1989, adaptirano l. 2010, M/1 nad., oddamo. Cena: 700,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/sostro-stanovanje_7370645/
6677825,SOSTRO,Stanovanje,3-sobno,3.0,850.0,EUR,117.0,2002,1/1,"117 m2, 3-sobno, zgrajeno l. 2002, 1/1 nad., Primerno za posameznika ali par stanovanje v hiši opremljeno fiksni stroški...",https://www.nepremicnine.net/oglasi-oddaja/sostro-stanovanje_6677825/
7405358,"SOSTRO, ZADVOR",Stanovanje,Soba,,350.0,EUR,20.0,1970,VP/2,"20 m2, soba, zgrajena l. 1970, VP/2 nad., oddamo. Cena: 350,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/sostro-zadvor-stanovanje_7405358/
7381275,"SP. HRUŠICA, SAVINOVA ULICA 7, LJ.",Stanovanje,1-sobno,1.0,530.0,EUR,29.0,2010,M/1,"29 m2, 1-sobno, adaptirano l. 2010, M/1 nad., bližina parka Golovec, vseljivo takoj, oddamo. Cena: 530,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/sp-hrusica-savinova-ulica-7-lj-stanovanje_7381275/
7411435,SP. ŠIŠKA,Stanovanje,Garsonjera,,980.0,EUR,27.0,1975,2,"27 m2, garsonjera, zgrajena l. 1975, 2. nad., Oddam prijetno garsonjero z ločenim spalnim delom - 1,5 km od centra Ljubl...",https://www.nepremicnine.net/oglasi-oddaja/sp-siska-stanovanje_7411435/
7414800,SP. ŠIŠKA,Stanovanje,Soba,,370.0,EUR,43.68,1978,11/11,"43,68 m2, soba, zgrajena l. 1978, adaptirana l. 2022, 11/11 nad., oddamo. Cena: 370,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/sp-siska-stanovanje_7414800/
7409653,SP. ŠIŠKA,Stanovanje,Garsonjera,,770.0,EUR,53.6,2018,VP/4,"53,6 m2, garsonjera, zgrajena l. 2018, VP/4 nad., oddamo. Cena: 770,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/sp-siska-stanovanje_7409653/
7412727,SP. ŠIŠKA,Stanovanje,2-sobno,2.0,800.0,EUR,55.0,2024,2/2,"55 m2, 2-sobno, adaptirano l. 2024, 2/2 nad., oddamo. Cena: 800,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/sp-siska-stanovanje_7412727/
7404815,SP. ŠIŠKA,Stanovanje,2-sobno,2.0,1500.0,EUR,74.0,2006,5/5,"74 m2, 2-sobno, zgrajeno l. 2006, 5/5 nad., Oddamo prostorno 2-sobno stanovanje na izjemni lokaciji ob Tivoliju, oddamo....",https://www.nepremicnine.net/oglasi-oddaja/sp-siska-stanovanje_7404815/
7395091,SP. ŠIŠKA,Stanovanje,3-sobno,3.0,1300.0,EUR,99.4,2006,3/6,"99,4 m2, 3-sobno, zgrajeno l. 2006, 3/6 nad., oddamo. Cena: 1.300,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/sp-siska-stanovanje_7395091/
7367485,SP. ŠIŠKA,Stanovanje,3-sobno,3.0,1950.0,EUR,136.0,2023,1,"136 m2, 3-sobno, zgrajeno l. 2023, 1. nad., oddamo. Cena: 1.950,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/sp-siska-stanovanje_7367485/
7347401,SP. ŠIŠKA,Stanovanje,4-sobno,4.0,6500.0,EUR,169.3,2022,,"169,3 m2, 4-sobno, zgrajeno l. 2022, Novogradnja. Soseska Bellevue Living, oddamo. Cena: 6.500,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/sp-siska-stanovanje_7347401/
7369888,"SP. ŠIŠKA, 3SS NASPROTI TIVOLIJA",Stanovanje,3-sobno,3.0,1450.0,EUR,82.5,2007,1/4,"82,5 m2, 3-sobno, zgrajeno l. 2007, 1/4 nad., Oddamo 3S stanovanje v bližini parka Tivoli in vse potrebne infrastrukture...",https://www.nepremicnine.net/oglasi-oddaja/sp-siska-3ss-nasproti-tivolija-stanovanje_7369888/
7394645,"SP. ŠIŠKA, BLIŽINA TIVOLIJA",Stanovanje,"2,5-sobno",2.5,1000.0,EUR,74.9,1936,2,"74,9 m2, 2,5-sobno, zgrajeno l. 1936, 2. nad., vseljivo takoj, bližina središča mesta, primerno za posameznike, par, dru...",https://www.nepremicnine.net/oglasi-oddaja/sp-siska-blizina-tivolija-stanovanje_7394645/
7368281,"SP. ŠIŠKA, NASPROTI TIVOLIJA",Stanovanje,2-sobno,2.0,900.0,EUR,63.0,1969,7/12,"63 m2, 2-sobno, zgrajeno l. 1969, 7/12 nad., Na odlični lokaciji v bližini Tivolija v Spodnji Šiški oddamo delno opremlj...",https://www.nepremicnine.net/oglasi-oddaja/sp-siska-nasproti-tivolija-stanovanje_7368281/
7406407,SPLIT,Stanovanje,2-sobno,2.0,1500.0,EUR,84.0,1975,,"84 m2, 2-sobno, zgrajeno l. 1975, oddamo. Cena: 1.500,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/split-stanovanje_7406407/
7410777,SPODNJA LOŽNICA,Stanovanje,Garsonjera,,450.0,EUR,30.0,2017,VP,"30 m2, garsonjera, poslovni apartma, novogradnja - zgr. l. 2017, visoko pritličje, oddamo. Cena: cca 450,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/spodnja-loznica-stanovanje_7410777/
7350118,SPODNJE BLATO,Stanovanje,"1,5-sobno",1.5,600.0,EUR,26.0,2023,1/1,"26 m2, 1,5-sobno, zgrajeno l. 2023, 1/1 nad., grosuplje, stanovanje je novo opremljeno, oddamo. Cena: 600,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/spodnje-blato-stanovanje_7350118/
7407545,SPODNJE GAMELJNE,Stanovanje,4-sobno,4.0,1600.0,EUR,129.0,2004,1,"129 m2, 4-sobno, zgrajeno l. 2004, 1. nad., oddamo. Cena: 1.600,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/spodnje-gameljne-stanovanje_7407545/
7403892,SPODNJE RADVANJE,Stanovanje,1-sobno,1.0,450.0,EUR,38.0,1971,4/5,"38 m2, 1-sobno, zgrajeno l. 1971, 4/5 nad., maribor - spodnje radvanje. oddamo prijetno svetlo enosobno stanovanje v ure...",https://www.nepremicnine.net/oglasi-oddaja/spodnje-radvanje-stanovanje_7403892/
7384032,SPODNJE RADVANJE,Stanovanje,1-sobno,1.0,600.0,EUR,44.8,1978,2/9,"44,8 m2, 1-sobno, zgrajeno l. 1978, 2/9 nad., Na Knafelčevi ulici 32, Maribor, oddajamo 1-sobno stanovanje, oddamo. Cena...",https://www.nepremicnine.net/oglasi-oddaja/spodnje-radvanje-stanovanje_7384032/
7412939,SPODNJE ŠKOFIJE,Stanovanje,Garsonjera,,650.0,EUR,35.0,1973,P/2,"35 m2, garsonjera, zgrajena l. 1973, adaptirana l. 1999, P/2 nad., oddamo. Cena: 650,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/spodnje-skofije-stanovanje_7412939/
7411358,SRDOČI,Stanovanje,1-sobno,1.0,600.0,EUR,40.0,,,"40 m2, 1-sobno, oddamo. Cena: 600,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/srdoci-stanovanje_7411358/
7322978,SRDOČI,Stanovanje,2-sobno,2.0,1050.0,EUR,80.0,,,"80 m2, 2-sobno, oddamo. Cena: 1.050,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/srdoci-stanovanje_7322978/
7395318,SRDOČI,Stanovanje,2-sobno,2.0,1000.0,EUR,80.0,,,"80 m2, 2-sobno, oddamo. Cena: 1.000,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/srdoci-stanovanje_7395318/
7392601,"SRDOČI, MARTINKOVAC, RIJEKA",Stanovanje,2-sobno,2.0,1300.0,EUR,63.0,2019,,"63 m2, 2-sobno, novogradnja - zgr. l. 2019, oddamo. Cena: 1.300,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/srdoci-martinkovac-rijeka-stanovanje_7392601/
7392755,"SRDOČI, MARTINKOVAC, RIJEKA",Stanovanje,2-sobno,2.0,2000.0,EUR,97.0,2019,,"97 m2, 2-sobno, novogradnja - zgr. l. 2019, oddamo. Cena: 2.000,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/srdoci-martinkovac-rijeka-stanovanje_7392755/
7393299,"SRDOČI, RIJEKA",Stanovanje,2-sobno,2.0,1050.0,EUR,100.0,,,"100 m2, 2-sobno, oddamo. Cena: 1.050,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/srdoci-rijeka-stanovanje_7393299/
6976342,SREDNJA VAS PRI POLHOVEM GRAD.,Stanovanje,4-sobno,4.0,1300.0,EUR,224.0,1995,1/M,"224 m2, 4-sobno, zgrajeno l. 1995, 1/M, Nadstandardno, zelo prostorno, 4-sobno stanovanje, v celoti opremljeno in takoj ...",https://www.nepremicnine.net/oglasi-oddaja/srednja-vas-pri-polhovem-grad-stanovanje_6976342/
